id,data
W02000001,0.51568247
W02000002,0.166566789
W02000003,0.060307113
W02000004,0.637079423
W02000005,0.203523916
W02000006,0.949141056
W02000007,0.938401434
W02000008,0.119188823
W02000009,0.544726864
W02000010,0.290012096
W02000011,0.201370358
W02000012,0.253994702
W02000013,0.388064149
W02000014,0.102546303
W02000015,0.027246315
W02000016,0.028012127
W02000017,0.917322594
W02000018,0.92003578
W02000019,0.584121862
W02000020,0.591255447
W02000021,0.366106687
W02000022,0.377863594
W02000023,0.620388197
W02000024,0.292361465
W02000025,0.976533767
W02000026,0.632485322
W02000027,0.833332853
W02000028,0.459102465
W02000029,0.776383406
W02000030,0.518161804
W02000031,0.377819592
W02000032,0.350583776
W02000033,0.669453719
W02000034,0.35576743
W02000035,0.107166514
W02000036,0.798965688
W02000037,0.285275914
W02000038,0.784392418
W02000039,0.944956518
W02000040,0.022004411
W02000041,0.109121925
W02000042,0.255365356
W02000043,0.699605409
W02000044,0.099472771
W02000045,0.955464374
W02000047,0.405811824
W02000049,0.195560623
W02000050,0.617176785
W02000051,0.167588956
W02000052,0.649924847
W02000053,0.171809456
W02000054,0.756117966
W02000055,0.158773874
W02000056,0.619148293
W02000057,0.525671515
W02000058,0.428762961
W02000059,0.893337834
W02000060,0.695457313
W02000061,0.48140761
W02000062,0.23075101
W02000063,0.490457938
W02000064,0.276794418
W02000065,0.361788692
W02000066,0.186371198
W02000067,0.068515621
W02000068,0.175246319
W02000069,0.129747214
W02000070,0.050036406
W02000071,0.79249542
W02000072,0.425800519
W02000073,0.911392733
W02000074,0.904543641
W02000075,0.634249989
W02000076,0.200494338
W02000077,0.378820326
W02000080,0.179142479
W02000081,0.30458779
W02000082,0.820754643
W02000083,0.608436224
W02000084,0.053987082
W02000085,0.969879093
W02000086,0.666494148
W02000087,0.032234773
W02000088,0.617153362
W02000089,0.337889583
W02000090,0.349290043
W02000091,0.125838504
W02000092,0.934996304
W02000093,0.101317236
W02000094,0.040503963
W02000095,0.818231014
W02000096,0.172227075
W02000097,0.952209369
W02000098,0.019806849
W02000099,0.05889705
W02000100,0.979098607
W02000101,0.290099386
